SEN No.,Batch id,Batch No,Class Commencement Date,Dec,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Total hrs spent
NA,GL-B04,4,04/05/2021,11,30,24,34,35,12,13,37,26,17,35,37,311
NA,GL-B04,4,04/05/2021,38,30,35,35,31,36,13,18,32,37,31,38,374
GL042021031,GL-B04,4,04/05/2021,28,12,20,16,14,36,17,28,32,23,31,35,292
GL032021020,GL-B05,5,08/06/2021,11,24,10,24,26,29,11,23,34,25,27,12,256
GL042021035,GL-B05,5,08/06/2021,35,15,39,24,25,25,31,11,27,20,40,12,304
GL042021035,GL-B05,5,08/06/2021,29,14,28,10,36,28,10,19,36,36,22,40,308
GL052021039,GL-B05,5,08/06/2021,34,24,31,18,15,21,24,35,39,25,13,19,298
GL052021040,GL-B05,5,08/06/2021,10,31,24,37,40,21,29,32,30,16,25,30,325
GL052021044,GL-B05,5,08/06/2021,16,21,19,17,17,25,35,36,26,37,34,28,311
GL052021041,GL-B05,5,08/06/2021,22,24,11,33,38,25,34,10,34,11,40,35,317
GL052021046,GL-B05,5,08/06/2021,18,29,26,20,13,32,36,28,27,33,11,38,311
GL052021045,GL-B05,5,08/06/2021,23,16,16,23,26,25,33,28,19,18,28,32,287
GL052021042,GL-B06,6,15/07/2021,24,18,18,13,34,37,14,23,18,30,25,33,287
GL032021027,GL-B06,6,15/07/2021,11,24,30,30,11,39,40,30,36,31,10,39,331
GL062021058,GL-B06,6,15/07/2021,23,34,24,12,34,22,36,10,30,25,14,22,286
NA,GL-B06,6,15/07/2021,16,17,25,30,38,20,15,24,38,18,40,18,299
GL062021055,GL-B06,6,15/07/2021,24,34,27,10,31,10,37,30,26,22,19,37,307
GL052021049,GL-B06,6,15/07/2021,27,19,38,12,33,23,10,40,14,40,19,32,307
NA,GL-B06,6,15/07/2021,40,28,19,10,27,21,11,16,38,18,27,22,277
NA,GL-B06,6,15/07/2021,38,37,15,24,22,36,19,25,15,30,37,39,337
NA,GL-B06,6,15/07/2021,20,27,20,30,37,32,38,31,28,17,17,29,326
GL062021060,GL-B06,6,15/07/2021,35,23,13,20,18,12,22,33,25,29,18,32,280
GL062021056,GL-B06,6,15/07/2021,20,28,37,26,14,15,32,11,30,28,26,39,306
GL062021052,GL-B07,7,03/08/2021,21,12,16,25,14,20,35,38,10,18,23,21,253
GL052021050,GL-B07,7,03/08/2021,28,22,22,11,19,33,22,12,35,23,32,34,293
GL072021072,GL-B07,7,03/08/2021,34,23,35,27,28,14,26,23,12,36,37,26,321
GL062021061,GL-B07,7,03/08/2021,18,20,38,14,10,32,30,24,13,38,13,40,290
NA,GL-B07,7,03/08/2021,19,34,10,14,31,36,31,40,16,19,28,18,296
GL072021074,GL-B07,7,03/08/2021,36,32,29,34,34,26,16,24,31,11,11,10,294
GL082021066,GL-B07,7,03/08/2021,14,19,36,19,12,37,22,19,16,11,33,24,262
NA,GL-B07,7,03/08/2021,38,19,39,11,33,33,40,19,39,11,34,24,340
GL052021038,GL-B08,8,16/08/2021,14,15,27,21,13,33,27,17,37,16,36,14,270
GL062021063,GL-B08,8,16/08/2021,34,26,31,25,29,30,35,17,17,18,37,23,322
GL072021077,GL-B08,8,16/08/2021,18,24,34,19,22,29,20,22,23,40,24,29,304
NA,GL-B08,8,16/08/2021,15,25,16,33,23,14,27,10,14,14,14,13,218
GL062021062,GL-B08,8,16/08/2021,12,31,22,32,20,22,16,38,37,31,36,21,318
GL072021075,GL-B08,8,16/08/2021,32,29,12,40,12,16,29,15,25,16,20,11,257
GL072021084,GL-B08,8,16/08/2021,21,32,38,15,32,13,17,21,11,31,22,27,280
GL072021082,GL-B08,8,16/08/2021,38,37,30,28,16,13,18,25,40,28,37,38,348
GL062021057,GL-B08,8,16/08/2021,15,24,14,26,21,40,39,30,39,30,35,38,351
GL072021083,GL-B08,8,16/08/2021,28,17,24,29,26,28,25,22,16,17,25,36,293
GL082021087,GL-B08,8,16/08/2021,14,14,38,29,31,27,27,33,39,32,32,10,326
GL072021078,GL-B08,8,16/08/2021,26,13,23,38,21,27,31,34,20,26,33,12,304
GL072021067,GL-B08,8,16/08/2021,15,13,29,36,13,24,38,16,40,40,29,17,310
NA,GL-B08,8,16/08/2021,15,27,22,38,25,10,28,36,26,14,32,27,300
GL072021079,GL-B09,9,13/09/2021,23,39,26,31,30,15,20,21,17,22,20,35,299
NA,GL-B09,9,13/09/2021,40,12,20,15,16,12,36,20,20,17,38,14,260
GL082021089,GL-B09,9,13/09/2021,33,28,23,15,17,10,28,33,11,10,16,19,243
GL082021098,GL-B09,9,13/09/2021,31,38,13,13,11,23,30,37,27,34,39,16,312
GL072021081,GL-B09,9,13/09/2021,31,13,17,24,11,30,25,22,31,25,38,12,279
GL082021092,GL-B09,9,13/09/2021,40,18,26,15,18,18,14,26,40,38,11,18,282
NA,GL-B09,9,13/09/2021,13,34,28,37,26,18,32,39,39,23,21,21,331
GL072021068,GL-B09,9,13/09/2021,36,14,10,31,12,36,15,19,37,23,17,11,261
GL072021086,GL-B09,9,13/09/2021,29,16,22,30,30,32,14,18,15,11,10,21,248
GL082021088,GL-B09,9,13/09/2021,22,19,34,28,19,19,10,16,24,25,14,25,255
GL082021096,GL-B09,9,13/09/2021,10,25,12,32,25,18,34,36,40,33,31,14,310
GL082021090,GL-B09,9,13/09/2021,17,16,29,37,31,33,33,14,18,30,18,10,286
GL082021095,GL-B09,9,13/09/2021,15,36,37,31,21,31,13,28,18,32,28,22,312
GL082021099,GL-B10,10,22/11/2021,36,32,38,17,30,37,27,25,14,32,28,34,350
GL062021054,GL-B10,10,22/11/2021,34,25,23,34,30,19,22,30,22,27,40,17,323
GL082021112,GL-B10,10,22/11/2021,36,17,10,37,14,23,32,40,27,25,16,15,292
GL082021094,GL-B10,10,22/11/2021,29,14,10,23,36,16,22,25,29,10,37,27,278
GL082021093,GL-B10,10,22/11/2021,25,33,18,15,24,26,29,18,24,12,10,28,262
NA,GL-B10,10,22/11/2021,23,13,12,26,35,11,13,28,15,26,25,11,238
GL092021123,GL-B10,10,22/11/2021,36,25,34,25,17,28,11,25,31,26,18,15,291
GL092021126,GL-B11,11,04/10/2021,31,28,39,23,36,11,19,10,29,39,11,20,296
NA,GL-B11,11,04/10/2021,28,18,34,25,22,23,14,40,17,34,27,24,306
GL092021121,GL-B11,11,04/10/2021,38,25,25,20,10,22,39,21,16,34,40,23,313
GL082021106,GL-B11,11,04/10/2021,30,34,15,28,30,17,16,35,38,26,21,34,324
GL102021162,GL-B11,11,04/10/2021,38,24,15,31,12,10,15,30,27,30,36,13,281
GL082021085,GL-B11,11,04/10/2021,15,36,39,13,17,17,27,10,11,28,22,11,246
NA,GL-B11,11,04/10/2021,19,16,40,13,26,33,39,18,10,18,36,27,295
GL102021164,GL-B11,11,04/10/2021,25,22,28,39,17,34,40,14,11,35,35,30,330
GL112021177,GL-B11,11,04/10/2021,22,29,14,23,27,30,12,22,26,39,32,26,302
GL112021178,GL-B11,11,04/10/2021,17,31,30,16,23,39,37,24,16,19,10,19,281
GL112021183,GL-B11,11,04/10/2021,19,19,40,17,16,34,16,19,35,12,28,37,292
GL102021167,GL-B11,11,04/10/2021,24,23,31,25,13,39,35,22,23,37,40,22,334
GL112021184,GL-B11,11,04/10/2021,23,15,16,31,37,22,27,15,16,34,22,20,278
GL102021147,GL-B11,11,04/10/2021,24,15,13,35,39,39,33,14,26,32,40,15,325
GL112021190,GL-B11,11,04/10/2021,12,39,16,21,16,10,31,34,28,31,23,38,299
GL112021191,GL-B11,11,04/10/2021,20,21,26,21,17,20,15,35,30,33,40,33,311
GL082021103,GL-B11,11,04/10/2021,29,31,36,38,14,25,35,27,26,10,30,35,336
GL112021182,GL-B11,11,04/10/2021,19,17,29,25,37,36,23,13,12,13,35,13,272
GL062021051,GL-B11,11,04/10/2021,31,24,20,31,21,40,17,38,29,18,31,14,314
GL112021188,GL-B11,11,04/10/2021,16,28,21,18,19,25,26,13,18,20,30,30,264
GL082021105,GL-B11,11,04/10/2021,12,29,11,35,21,36,34,12,23,26,14,23,276
GL092021118,GL-B12,12,08/11/2021,36,12,14,25,10,36,21,12,38,36,36,34,310
GL082021102,GL-B12,12,08/11/2021,18,32,12,12,30,25,17,24,10,18,20,24,242
GL082021110,GL-B12,12,08/11/2021,40,22,23,36,34,20,32,29,20,30,24,12,322
GL092021122,GL-B12,12,08/11/2021,21,20,21,16,24,22,37,16,28,21,29,11,266
GL092021117,GL-B12,12,08/11/2021,24,30,26,21,28,29,34,20,22,35,13,12,294
GL092021137,GL-B12,12,08/11/2021,13,32,39,34,22,34,37,23,35,35,12,25,341
GL082021116,GL-B12,12,08/11/2021,38,20,25,11,35,37,12,19,35,32,35,32,331
GL082021115,GL-B12,12,08/11/2021,16,24,14,35,26,37,16,31,34,38,34,19,324
GL092021136,GL-B13,13,15/11/2021,17,22,23,22,12,28,10,12,10,22,22,34,234
GL092021124,GL-B13,13,15/11/2021,34,21,27,29,37,20,28,21,13,26,36,15,307
GL092021131,GL-B13,13,15/11/2021,31,39,33,33,30,28,16,13,38,14,26,35,336
GL092021140,GL-B13,13,15/11/2021,12,34,24,30,40,37,27,19,31,33,20,40,347
GL102021141,GL-B13,13,15/11/2021,25,24,40,35,29,19,30,13,19,17,35,10,296
GL092021135,GL-B13,13,15/11/2021,13,40,32,18,12,39,27,27,22,30,14,27,301
GL082021097,GL-B13,13,15/11/2021,10,32,13,19,18,14,12,27,35,25,22,13,240
NA,GL-B13,13,15/11/2021,13,29,35,23,19,36,40,38,18,35,15,35,336
GL082021109,GL-B13,13,15/11/2021,40,21,22,22,33,16,40,18,15,14,39,19,299
GL092021129,GL-B13,13,15/11/2021,16,31,36,32,28,40,23,11,18,18,29,35,317
GL082021107,GL-B13,13,15/11/2021,11,35,29,21,23,40,34,31,13,37,17,32,323
GL092021131,GL-B13,13,15/11/2021,16,19,34,36,26,39,37,29,18,33,21,12,320
GL052021047,GL-B13,13,15/11/2021,21,26,28,14,28,10,30,38,16,19,25,10,265
GL092021139,GL-B13,13,15/11/2021,19,32,34,33,15,27,23,11,35,10,31,21,291
GL092021138,GL-B13,13,15/11/2021,26,20,13,22,35,28,21,21,40,12,21,13,272
NA,GL-B14,14,14/12/2021,13,24,32,13,20,34,31,22,18,16,14,39,276
NA,GL-B14,14,14/12/2021,32,35,10,31,33,39,34,36,19,21,30,33,353
GL082021101,GL-B14,14,14/12/2021,16,21,30,19,32,25,19,33,27,23,12,14,271
GL102021142,GL-B14,14,14/12/2021,18,31,17,23,20,38,39,25,30,15,13,37,306
GL092021119,GL-B14,14,14/12/2021,26,36,36,30,36,26,36,39,12,17,27,26,347
GL102021172,GL-B14,14,14/12/2021,39,10,39,16,21,27,15,26,15,26,13,22,269
GL092021130,GL-B14,14,14/12/2021,13,15,34,39,29,37,39,10,12,12,31,35,306
GL092021132,GL-B14,14,14/12/2021,30,27,35,10,40,30,24,30,38,34,23,17,338
GL092021138,GL-B15,15,20/12/2021,17,16,36,15,18,20,19,32,24,27,15,37,276
GL092021120,GL-B15,15,20/12/2021,38,31,16,34,17,17,16,28,16,19,10,34,276
GL102021146,GL-B15,15,20/12/2021,28,30,32,31,25,34,17,18,36,15,21,40,327
NA,GL-B15,15,20/12/2021,34,27,37,15,22,16,31,39,10,28,35,25,319
GL102021158,GL-B15,15,20/12/2021,34,29,24,11,11,21,25,15,40,17,34,15,276
GL102021144,GL-B15,15,20/12/2021,19,11,36,34,14,34,22,25,37,29,35,35,331
GL102021170,GL-B15,15,20/12/2021,23,26,22,40,40,15,19,25,31,13,32,11,297
GL102021151,GL-B15,15,20/12/2021,13,11,37,36,24,29,35,27,33,12,25,19,301
GL112021173,GL-B15,15,20/12/2021,32,26,21,17,36,33,34,14,16,36,25,11,301
GL112021217,GL-B15,15,20/12/2021,34,23,15,22,18,20,32,15,18,27,38,10,272
GL072021071,GL-B15,15,20/12/2021,27,40,31,11,15,19,21,16,19,18,29,20,266
GL112021201,GL-B15,15,20/12/2021,37,10,33,14,12,25,39,19,21,33,37,34,314
GL112021194,GL-B15,15,20/12/2021,18,21,15,10,29,22,26,13,12,24,39,36,265
GL112021192,GL-B15,15,20/12/2021,17,21,27,17,19,33,17,35,19,22,22,21,270
GL122021227,GL-B15,15,20/12/2021,34,19,25,19,10,20,26,11,18,23,30,27,262
GL102021143,GL-B15,15,20/12/2021,10,30,25,38,17,37,35,14,28,35,34,28,331
GL112021212,GL-B15,15,20/12/2021,11,27,10,19,23,35,39,18,27,17,36,39,301
GL122021221,GL-B16,16,26/01/2022,22,26,26,15,17,11,40,32,27,15,21,27,279
GL112021219,GL-B16,16,26/01/2022,10,19,18,25,38,24,16,23,30,22,23,35,283
GL102021155,GL-B16,16,26/01/2022,33,37,16,24,33,34,30,12,19,22,34,36,330
GL102021149,GL-B16,16,26/01/2022,35,35,12,33,19,22,39,34,11,23,24,31,318
GL102021165,GL-B16,16,26/01/2022,34,22,18,40,29,12,27,34,38,31,27,22,334
GL102021156,GL-B16,16,26/01/2022,20,20,23,18,18,37,39,20,33,14,30,37,309
GL102021150,GL-B16,16,26/01/2022,26,27,14,17,33,34,25,16,21,12,29,19,273
GL102021169,GL-B16,16,26/01/2022,11,10,16,26,40,24,32,12,14,40,18,24,267
GL102021154,GL-B16,16,26/01/2022,26,10,33,24,26,32,23,19,28,40,23,30,314
GL102021159,GL-B16,16,26/01/2022,26,20,29,37,36,18,38,37,27,21,37,34,360
GL102021174,GL-B16,16,26/01/2022,28,30,33,10,31,11,21,34,36,24,17,39,314
GL102021152,GL-B16,16,26/01/2022,31,35,23,17,39,28,19,26,40,14,34,33,339
GL102021163,GL-B16,16,26/01/2022,21,39,14,26,26,12,32,13,35,31,29,10,288
GL102021145,GL-B16,16,26/01/2022,39,37,21,18,21,37,18,11,27,24,23,10,286
NA,GL-B16,16,26/01/2022,31,19,13,21,17,35,27,27,38,11,13,39,291
GL102021146,GL-B16,16,26/01/2022,19,19,24,14,36,34,37,14,32,27,15,29,300
NA,GL-B16,16,26/01/2022,14,32,39,28,18,29,13,13,28,40,14,11,279
GL102021158,GL-B16,16,26/01/2022,14,31,39,16,10,22,12,18,35,28,40,25,290
GL102021144,GL-B16,16,26/01/2022,28,24,36,27,18,35,36,32,15,27,21,16,315
GL102021170,GL-B16,16,26/01/2022,30,16,17,29,39,30,18,40,32,20,38,10,319
GL102021151,GL-B16,16,26/01/2022,25,27,36,34,16,21,36,14,26,35,22,37,329
GL112021173,GL-B16,16,26/01/2022,32,23,28,21,10,33,13,13,14,10,14,38,249
GL112021217,GL-B16,16,26/01/2022,12,29,14,20,22,13,25,34,11,26,39,28,273
GL072021071,GL-B16,16,26/01/2022,22,10,13,23,36,15,33,12,21,28,30,20,263
GL112021201,GL-B16,16,26/01/2022,34,16,14,20,10,21,25,31,17,34,40,30,292
GL112021194,GL-B16,16,26/01/2022,37,40,24,19,29,16,13,24,14,24,28,11,279
GL112021192,GL-B16,16,26/01/2022,10,27,32,15,33,22,23,18,39,22,13,22,276
GL122021227,GL-B16,16,26/01/2022,36,34,14,38,34,22,39,28,38,34,24,40,381
GL102021143,GL-B16,16,26/01/2022,38,32,32,37,11,25,17,27,24,17,40,10,310
GL112021212,GL-B17,17,24/01/2022,39,31,18,24,34,19,30,33,17,34,39,24,342
GL122021221,GL-B17,17,24/01/2022,35,21,40,34,21,11,33,32,16,14,15,28,300
GL092021127,GL-B17,17,24/01/2022,38,36,24,30,30,24,25,12,36,30,30,10,325
GL092021128,GL-B17,17,24/01/2022,11,20,21,39,39,16,23,25,33,13,39,19,298
GL072021064,GL-B18,18,28/02/2022,39,31,29,20,34,23,34,32,35,29,37,18,361
NA,GL-B18,18,28/02/2022,16,35,37,36,10,26,18,12,27,18,40,39,314
GL112021196,GL-B18,18,28/02/2022,15,10,17,30,13,38,10,25,14,27,26,22,247
GL102021197,GL-B18,18,28/02/2022,10,11,24,27,11,34,14,15,14,18,25,14,217
GL112021215,GL-B18,18,28/02/2022,21,14,25,33,16,28,26,35,35,33,39,26,331
GL112021219,GL-B18,18,28/02/2022,14,11,36,33,27,12,10,16,31,24,21,10,245
GL112021214,GL-B18,18,28/02/2022,24,22,16,19,38,36,20,17,15,33,17,33,290
GL112021200,GL-B18,18,28/02/2022,30,38,12,23,38,15,15,38,29,17,12,24,291
GL122021221,GL-B18,18,28/02/2022,13,36,18,39,30,33,25,18,24,21,26,15,298
GL122021223,GL-B18,18,28/02/2022,22,14,37,24,36,39,24,26,17,19,25,22,305
G122021218,GL-B18,18,28/02/2022,12,16,38,24,38,22,36,34,19,37,26,23,325
GL122021230,GL-B18,18,28/02/2022,15,23,14,35,13,19,22,10,10,13,16,16,206
GL122021231,GL-B18,18,28/02/2022,11,24,30,22,16,15,29,23,24,30,11,12,247
NA,GL-B18,18,28/02/2022,28,23,39,24,26,21,40,36,29,11,20,32,329
GL122021253,GL-B18,18,28/02/2022,12,40,30,32,11,22,12,26,36,14,10,23,268
GL122021259,GL-B18,18,28/02/2022,25,35,12,24,13,40,39,13,15,18,26,11,271
GL072021070,GL-B18,18,28/02/2022,38,17,14,19,37,25,26,37,18,24,12,28,295
GL092021133,GL-B18,18,28/02/2022,26,30,30,22,39,30,36,19,28,32,23,31,346
GL092021134,GL-B18,18,28/02/2022,10,18,34,21,20,26,20,28,22,35,38,19,291
GL012022300,GL-B18,18,28/02/2022,33,15,14,32,25,32,12,29,28,39,37,15,311
NA,GL-B19,19,21/03/2022,33,37,17,20,14,23,22,29,34,32,34,21,316
GL012022295,GL-B19,19,21/03/2022,11,32,27,12,33,22,21,28,31,38,26,21,302
GL112021186,GL-B19,19,21/03/2022,35,39,23,12,14,26,39,39,33,10,15,11,296
GL112021187,GL-B19,19,21/03/2022,24,32,36,38,17,19,35,33,30,22,25,18,329
GL112021179,GL-B19,19,21/03/2022,16,16,35,26,13,33,11,27,29,17,26,25,274
GL112021202,GL-B19,19,21/03/2022,30,22,21,23,38,16,10,12,32,17,13,21,255
GL112021203,GL-B19,19,21/03/2022,24,40,38,20,26,39,23,11,27,33,11,15,307
GL112021204,GL-B19,19,21/03/2022,29,25,20,23,17,15,31,17,13,28,34,28,280
GL112021207,GL-B19,19,21/03/2022,25,25,10,21,38,40,29,25,38,10,16,20,297
GL112021206,GL-B19,19,21/03/2022,39,17,24,33,34,40,14,12,24,39,20,10,306
GL112021209,GL-B19,19,21/03/2022,30,26,25,29,38,22,38,26,19,29,14,24,320
GL112021211,GL-B19,19,21/03/2022,30,40,24,18,27,36,11,10,24,11,39,25,295
GL122021234,GL-B19,19,21/03/2022,24,39,29,37,14,35,27,35,31,21,32,29,353
GL112021189,GL-B19,19,21/03/2022,26,23,19,23,15,13,38,30,18,39,26,33,303
GL122021258,GL-B19,19,21/03/2022,13,19,36,27,15,37,36,12,36,10,36,10,287
GL112021196,GL-B19,19,21/03/2022,38,34,33,18,29,35,10,23,23,22,38,35,338
GL102021197,GL-B19,19,21/03/2022,15,40,20,14,23,19,39,20,35,31,17,24,297
GL112021215,GL-B19,19,21/03/2022,11,30,36,16,12,14,35,37,26,17,18,33,285
GL112021200,GL-B19,19,21/03/2022,29,11,33,37,17,29,14,13,15,16,19,30,263
GL122021223,GL-B19,19,21/03/2022,12,39,23,33,20,15,22,18,34,34,13,37,300
GL122021230,GL-B19,19,21/03/2022,32,14,30,18,20,23,10,29,16,27,11,12,242
GL122021231,GL-B19,19,21/03/2022,22,20,38,36,33,35,28,15,28,26,26,22,329
NA,GL-B19,19,21/03/2022,25,10,17,11,31,19,25,39,35,29,31,11,283
GL122021253,GL-B19,19,21/03/2022,10,22,29,37,11,10,17,28,24,20,11,33,252
GL122021259,GL-B19,19,21/03/2022,25,10,29,18,13,38,39,39,35,39,30,36,351
GL072021070,GL-B19,19,21/03/2022,14,10,12,27,12,40,28,30,19,39,39,35,305
GL092021133,GL-B19,19,21/03/2022,13,14,16,25,11,14,14,13,37,38,17,26,238
GL092021134,GL-B19,19,21/03/2022,35,34,12,30,29,30,21,35,37,34,11,29,337
GL012022300,GL-B19,19,21/03/2022,29,20,19,12,26,18,18,19,21,27,20,23,252
NA,GL-B19,19,21/03/2022,36,17,31,33,37,31,40,34,11,34,21,12,337
GL012022295,GL-B20,20,08/04/2022,12,11,25,17,17,11,20,32,37,28,35,17,262
GL102021160,GL-B20,20,08/04/2022,10,23,17,34,34,31,24,33,24,33,17,10,290
GL112021195,GL-B20,20,08/04/2022,38,33,14,11,14,37,28,24,19,28,29,13,288
GL112021205,GL-B20,20,08/04/2022,20,12,17,22,37,24,30,27,36,23,13,35,296
GL112021210,GL-B20,20,08/04/2022,17,32,39,29,12,25,19,19,16,27,17,37,289
GL112021210,GL-B20,20,08/04/2022,36,36,36,34,29,39,30,16,37,22,37,21,373
GL122021220,GL-B20,20,08/04/2022,13,28,31,10,13,27,20,10,19,37,11,33,252
GL122021222,GL-B20,20,08/04/2022,33,16,38,33,15,37,28,15,33,37,35,39,359
GL122021229,GL-B20,20,08/04/2022,13,23,15,34,33,13,23,30,16,22,21,31,274
GL122021228,GL-B21,21,22/04/2022,16,18,32,27,15,24,18,40,37,21,18,11,277
GL122021237,GL-B21,21,22/04/2022,13,25,38,15,17,30,37,20,11,37,27,29,299
GL122021256,GL-B21,21,22/04/2022,13,22,21,23,31,27,33,22,32,29,23,15,291
GL012022289,GL-B21,21,22/04/2022,31,15,33,24,39,29,17,27,31,16,33,20,315
GL012022291,GL-B21,21,22/04/2022,31,27,28,39,30,33,32,11,19,13,28,22,313
GL012022284,GL-B21,21,22/04/2022,20,32,27,39,36,28,26,24,34,23,38,18,345
GL012022281,GL-B21,21,22/04/2022,21,16,21,12,14,33,15,31,36,29,18,25,271
GL022022328,GL-B21,21,22/04/2022,25,26,24,26,25,22,17,16,18,23,38,22,282
GL032021025,GL-B21,21,22/04/2022,34,37,35,11,12,17,31,17,30,22,22,34,302
GL122021226,GL-B21,21,22/04/2022,17,27,35,34,17,39,31,12,17,14,23,11,277
GL122021224,GL-B21,21,22/04/2022,21,37,11,14,14,15,32,10,18,31,22,24,249
GL012022283,GL-B21,21,22/04/2022,38,21,36,12,21,14,16,25,26,29,20,20,278
GL012022294,GL-B21,21,22/04/2022,34,26,34,21,34,39,13,36,36,24,14,14,325
GL122021255,GL-B21,21,22/04/2022,32,33,29,37,34,16,39,32,26,21,40,15,354
GL112021185,GL-B21,21,22/04/2022,22,16,32,32,17,39,14,39,27,32,35,27,332
GL012022277,GL-B21,21,22/04/2022,15,24,23,24,39,23,30,36,24,39,23,40,340
GL122021257,GL-B21,21,22/04/2022,22,29,25,22,22,30,11,15,19,24,27,22,268
GL122021240,GL-B21,21,22/04/2022,17,34,15,16,15,25,12,18,31,12,20,19,234
GL012022301,GL-B22,22,16/05/2022,37,22,21,18,38,19,30,37,12,25,26,24,309
GL012022300,GL-B22,22,16/05/2022,13,39,27,15,20,22,11,36,35,30,24,38,310
GL012022275,GL-B22,22,16/05/2022,20,17,35,37,17,34,39,30,34,23,30,33,349
GL012022270,GL-B22,22,16/05/2022,19,23,25,12,24,30,31,35,31,36,27,32,325
GL122021254,GL-B22,22,16/05/2022,19,11,35,18,39,11,16,20,39,23,15,16,262
GL012022273,GL-B22,22,16/05/2022,20,17,25,17,38,22,40,25,11,33,37,18,303
GL122021247,GL-B22,22,16/05/2022,39,31,35,30,27,37,14,16,19,36,17,21,322
GL012022272,GL-B22,22,16/05/2022,22,29,28,34,18,23,39,12,33,26,19,10,293
GL012022278,GL-B22,22,16/05/2022,19,10,34,27,39,33,18,17,19,36,15,32,299
GL122021242,GL-B22,22,16/05/2022,12,29,38,23,27,19,24,34,11,20,23,35,295
GL122021243,GL-B22,22,16/05/2022,13,32,38,10,33,31,31,13,34,20,22,23,300
GL012022276,GL-B22,22,16/05/2022,15,21,28,32,21,29,28,16,10,37,14,21,272
GL122021248,GL-B22,22,16/05/2022,30,33,28,16,15,38,26,30,24,33,38,21,332
GL012022280,GL-B23,23,06/06/2022,22,27,14,20,38,28,29,10,31,26,24,33,302
NA,GL-B23,23,06/06/2022,31,18,17,16,28,30,31,40,28,40,14,21,314
GL122021252,GL-B23,23,06/06/2022,27,26,16,36,19,33,33,23,15,31,14,20,293
GL122021268,GL-B23,23,06/06/2022,14,17,11,14,23,40,24,30,37,11,24,11,256
GL012022287,GL-B23,23,06/06/2022,20,35,27,36,12,15,32,35,32,37,33,36,350
GL012022279,GL-B23,23,06/06/2022,36,39,24,21,10,16,37,37,18,10,22,20,290
GL012022282,GL-B23,23,06/06/2022,30,25,12,30,40,18,20,19,19,24,28,32,297
GL122021249,GL-B23,23,06/06/2022,21,40,30,28,31,18,21,12,10,23,18,21,273
GL122021264,GL-B23,23,06/06/2022,33,35,27,30,33,40,21,21,33,23,30,35,361
