SEN No.,Batch No,Lms engagement throughout course,Class Commencement Date,Class End Date,Total time enrolled,Total observed time,Retention Rate
NA,7,311,03/08/2021,03/06/2022,304,-11,-27.64
GL072021074,7,294,03/08/2021,03/06/2022,304,6,50.67
GL082021066,7,262,03/08/2021,03/06/2022,304,38,8.00
NA,7,311,03/08/2021,03/06/2022,304,-11,-27.64
GL052021038,7,270,03/08/2021,03/06/2022,304,30,10.13
GL062021063,7,322,03/08/2021,03/06/2022,304,-22,-13.82
GL072021077,8,304,16/08/2021,16/06/2022,304,-4,-76.00
NA,8,311,16/08/2021,16/06/2022,304,-11,-27.64
GL062021062,8,318,16/08/2021,16/06/2022,304,-18,-16.89
GL072021075,8,257,16/08/2021,16/06/2022,304,43,7.07
GL072021084,8,280,16/08/2021,16/06/2022,304,20,15.20
GL072021082,8,348,16/08/2021,16/06/2022,304,-48,-6.33
GL062021057,8,351,16/08/2021,16/06/2022,304,-51,-5.96
GL072021083,8,293,16/08/2021,16/06/2022,304,7,43.43
GL082021087,8,326,16/08/2021,16/06/2022,304,-26,-11.69
GL072021078,8,304,16/08/2021,16/06/2022,304,-4,-76.00
GL072021067,8,310,16/08/2021,16/06/2022,304,-10,-30.40
NA,8,311,16/08/2021,16/06/2022,304,-11,-27.64
GL072021079,8,299,16/08/2021,16/06/2022,304,1,304.00
NA,8,311,16/08/2021,16/06/2022,304,-11,-27.64
GL082021089,9,243,13/09/2021,13/07/2022,303,57,5.32
GL082021098,9,312,13/09/2021,13/07/2022,303,-12,-25.25
GL072021081,9,279,13/09/2021,13/07/2022,303,21,14.43
GL082021092,9,282,13/09/2021,13/07/2022,303,18,16.83
NA,9,311,13/09/2021,13/07/2022,303,-11,-27.55
GL072021068,9,261,13/09/2021,13/07/2022,303,39,7.77
GL072021086,9,248,13/09/2021,13/07/2022,303,52,5.83
GL082021088,9,255,13/09/2021,13/07/2022,303,45,6.73
GL082021096,9,310,13/09/2021,13/07/2022,303,-10,-30.30
GL082021090,9,286,13/09/2021,13/07/2022,303,14,21.64
GL082021095,9,312,13/09/2021,13/07/2022,303,-12,-25.25
GL082021099,9,350,13/09/2021,13/07/2022,303,-50,-6.06
GL062021054,9,323,13/09/2021,13/07/2022,303,-23,-13.17
GL082021112,10,292,22/11/2021,22/09/2022,304,8,38.00
GL082021094,10,278,22/11/2021,22/09/2022,304,22,13.82
GL082021093,10,262,22/11/2021,22/09/2022,304,38,8.00
NA,10,311,22/11/2021,22/09/2022,304,-11,-27.64
GL092021123,10,291,22/11/2021,22/09/2022,304,9,33.78
GL092021126,10,296,22/11/2021,22/09/2022,304,4,76.00
NA,10,311,22/11/2021,22/09/2022,304,-11,-27.64
GL092021121,11,313,04/10/2021,04/08/2022,304,-13,-23.38
GL082021106,11,324,04/10/2021,04/08/2022,304,-24,-12.67
GL102021162,11,281,04/10/2021,04/08/2022,304,19,16.00
GL082021085,11,246,04/10/2021,04/08/2022,304,54,5.63
NA,11,311,04/10/2021,04/08/2022,304,-11,-27.64
GL102021164,11,330,04/10/2021,04/08/2022,304,-30,-10.13
GL112021177,11,302,04/10/2021,04/08/2022,304,-2,-152.00
GL112021178,11,281,04/10/2021,04/08/2022,304,19,16.00
GL112021183,11,292,04/10/2021,04/08/2022,304,8,38.00
GL102021167,11,334,04/10/2021,04/08/2022,304,-34,-8.94
GL112021184,11,278,04/10/2021,04/08/2022,304,22,13.82
GL102021147,11,325,04/10/2021,04/08/2022,304,-25,-12.16
GL112021190,11,299,04/10/2021,04/08/2022,304,1,304.00
GL112021191,11,311,04/10/2021,04/08/2022,304,-11,-27.64
GL082021103,11,336,04/10/2021,04/08/2022,304,-36,-8.44
GL112021182,11,272,04/10/2021,04/08/2022,304,28,10.86
GL062021051,11,314,04/10/2021,04/08/2022,304,-14,-21.71
GL112021188,11,264,04/10/2021,04/08/2022,304,36,8.44
GL082021105,11,276,04/10/2021,04/08/2022,304,24,12.67
GL092021118,11,310,04/10/2021,04/08/2022,304,-10,-30.40
GL082021102,11,242,04/10/2021,04/08/2022,304,58,5.24
GL082021110,12,322,08/11/2021,08/09/2022,304,-22,-13.82
GL092021122,12,266,08/11/2021,08/09/2022,304,34,8.94
GL092021117,12,294,08/11/2021,08/09/2022,304,6,50.67
GL092021137,12,341,08/11/2021,08/09/2022,304,-41,-7.41
GL082021116,12,331,08/11/2021,08/09/2022,304,-31,-9.81
GL082021115,12,324,08/11/2021,08/09/2022,304,-24,-12.67
GL092021136,12,234,08/11/2021,08/09/2022,304,66,4.61
GL092021124,12,307,08/11/2021,08/09/2022,304,-7,-43.43
GL092021131,13,336,15/11/2021,15/09/2022,304,-36,-8.44
GL092021140,13,347,15/11/2021,15/09/2022,304,-47,-6.47
GL102021141,13,296,15/11/2021,15/09/2022,304,4,76.00
GL092021135,13,301,15/11/2021,15/09/2022,304,-1,-304.00
GL082021097,13,240,15/11/2021,15/09/2022,304,60,5.07
NA,13,311,15/11/2021,15/09/2022,304,-11,-27.64
GL082021109,13,299,15/11/2021,15/09/2022,304,1,304.00
GL092021129,13,317,15/11/2021,15/09/2022,304,-17,-17.88
GL082021107,13,323,15/11/2021,15/09/2022,304,-23,-13.22
GL092021131,13,336,15/11/2021,15/09/2022,304,-36,-8.44
GL052021047,13,265,15/11/2021,15/09/2022,304,35,8.69
GL092021139,13,291,15/11/2021,15/09/2022,304,9,33.78
GL092021138,13,272,15/11/2021,15/09/2022,304,28,10.86
NA,13,311,15/11/2021,15/09/2022,304,-11,-27.64
NA,13,311,15/11/2021,15/09/2022,304,-11,-27.64
GL082021101,14,271,14/12/2021,14/10/2022,304,29,10.48
GL102021142,14,306,14/12/2021,14/10/2022,304,-6,-50.67
GL092021119,14,347,14/12/2021,14/10/2022,304,-47,-6.47
GL102021172,14,269,14/12/2021,14/10/2022,304,31,9.81
GL092021130,14,306,14/12/2021,14/10/2022,304,-6,-50.67
GL092021132,14,338,14/12/2021,14/10/2022,304,-38,-8.00
GL092021138,14,272,14/12/2021,14/10/2022,304,28,10.86
GL092021120,14,276,14/12/2021,14/10/2022,304,24,12.67
GL102021146,15,327,20/12/2021,20/10/2022,304,-27,-11.26
NA,15,311,20/12/2021,20/10/2022,304,-11,-27.64
GL102021158,15,276,20/12/2021,20/10/2022,304,24,12.67
GL102021144,15,331,20/12/2021,20/10/2022,304,-31,-9.81
GL102021170,15,297,20/12/2021,20/10/2022,304,3,101.33
GL102021151,15,301,20/12/2021,20/10/2022,304,-1,-304.00
GL112021173,15,301,20/12/2021,20/10/2022,304,-1,-304.00
GL112021217,15,272,20/12/2021,20/10/2022,304,28,10.86
GL072021071,15,266,20/12/2021,20/10/2022,304,34,8.94
GL112021201,15,314,20/12/2021,20/10/2022,304,-14,-21.71
GL112021194,15,265,20/12/2021,20/10/2022,304,35,8.69
GL112021192,15,270,20/12/2021,20/10/2022,304,30,10.13
GL122021227,15,262,20/12/2021,20/10/2022,304,38,8.00
GL102021143,15,331,20/12/2021,20/10/2022,304,-31,-9.81
GL112021212,15,301,20/12/2021,20/10/2022,304,-1,-304.00
GL122021221,15,279,20/12/2021,20/10/2022,304,21,14.48
GL112021219,15,283,20/12/2021,20/10/2022,304,17,17.88
GL102021155,16,330,26/01/2022,26/11/2022,304,-30,-10.13
GL102021149,16,318,26/01/2022,26/11/2022,304,-18,-16.89
GL102021165,16,334,26/01/2022,26/11/2022,304,-34,-8.94
GL102021156,16,309,26/01/2022,26/11/2022,304,-9,-33.78
GL102021150,16,273,26/01/2022,26/11/2022,304,27,11.26
GL102021169,16,267,26/01/2022,26/11/2022,304,33,9.21
GL102021154,16,314,26/01/2022,26/11/2022,304,-14,-21.71
GL102021159,16,360,26/01/2022,26/11/2022,304,-60,-5.07
GL102021174,16,314,26/01/2022,26/11/2022,304,-14,-21.71
GL102021152,16,339,26/01/2022,26/11/2022,304,-39,-7.79
GL102021163,16,288,26/01/2022,26/11/2022,304,12,25.33
GL102021145,16,286,26/01/2022,26/11/2022,304,14,21.71
NA,16,311,26/01/2022,26/11/2022,304,-11,-27.64
GL102021146,16,327,26/01/2022,26/11/2022,304,-27,-11.26
NA,16,311,26/01/2022,26/11/2022,304,-11,-27.64
GL102021158,16,276,26/01/2022,26/11/2022,304,24,12.67
GL102021144,16,331,26/01/2022,26/11/2022,304,-31,-9.81
GL102021170,16,297,26/01/2022,26/11/2022,304,3,101.33
GL102021151,16,301,26/01/2022,26/11/2022,304,-1,-304.00
GL112021173,16,301,26/01/2022,26/11/2022,304,-1,-304.00
GL112021217,16,272,26/01/2022,26/11/2022,304,28,10.86
GL072021071,16,266,26/01/2022,26/11/2022,304,34,8.94
GL112021201,16,314,26/01/2022,26/11/2022,304,-14,-21.71
GL112021194,16,265,26/01/2022,26/11/2022,304,35,8.69
GL112021192,16,270,26/01/2022,26/11/2022,304,30,10.13
GL122021227,16,262,26/01/2022,26/11/2022,304,38,8.00
GL102021143,16,331,26/01/2022,26/11/2022,304,-31,-9.81
GL112021212,16,301,26/01/2022,26/11/2022,304,-1,-304.00
GL122021221,16,279,26/01/2022,26/11/2022,304,21,14.48
GL092021127,17,325,24/01/2022,24/11/2022,304,-25,-12.16
GL092021128,17,298,24/01/2022,24/11/2022,304,2,152.00
GL072021064,17,361,24/01/2022,24/11/2022,304,-61,-4.98
NA,17,311,24/01/2022,24/11/2022,304,-11,-27.64
GL112021196,18,247,28/02/2022,28/12/2022,303,53,5.72
GL102021197,18,217,28/02/2022,28/12/2022,303,83,3.65
GL112021215,18,331,28/02/2022,28/12/2022,303,-31,-9.77
GL112021219,18,283,28/02/2022,28/12/2022,303,17,17.82
GL112021214,18,290,28/02/2022,28/12/2022,303,10,30.30
GL112021200,18,291,28/02/2022,28/12/2022,303,9,33.67
GL122021221,18,279,28/02/2022,28/12/2022,303,21,14.43
GL122021223,18,305,28/02/2022,28/12/2022,303,-5,-60.60
G122021218,18,325,28/02/2022,28/12/2022,303,-25,-12.12
GL122021230,18,206,28/02/2022,28/12/2022,303,94,3.22
GL122021231,18,247,28/02/2022,28/12/2022,303,53,5.72
NA,18,311,28/02/2022,28/12/2022,303,-11,-27.55
GL122021253,18,268,28/02/2022,28/12/2022,303,32,9.47
GL122021259,18,271,28/02/2022,28/12/2022,303,29,10.45
GL072021070,18,295,28/02/2022,28/12/2022,303,5,60.60
GL092021133,18,346,28/02/2022,28/12/2022,303,-46,-6.59
GL092021134,18,291,28/02/2022,28/12/2022,303,9,33.67
GL012022300,18,311,28/02/2022,28/12/2022,303,-11,-27.55
NA,18,311,28/02/2022,28/12/2022,303,-11,-27.55
GL012022295,18,302,28/02/2022,28/12/2022,303,-2,-151.50
GL112021186,19,296,21/03/2022,21/01/2023,306,4,76.50
GL112021187,19,329,21/03/2022,21/01/2023,306,-29,-10.55
GL112021179,19,274,21/03/2022,21/01/2023,306,26,11.77
GL112021202,19,255,21/03/2022,21/01/2023,306,45,6.80
GL112021203,19,307,21/03/2022,21/01/2023,306,-7,-43.71
GL112021204,19,280,21/03/2022,21/01/2023,306,20,15.30
GL112021207,19,297,21/03/2022,21/01/2023,306,3,102.00
GL112021206,19,306,21/03/2022,21/01/2023,306,-6,-51.00
GL112021209,19,320,21/03/2022,21/01/2023,306,-20,-15.30
GL112021211,19,295,21/03/2022,21/01/2023,306,5,61.20
GL122021234,19,353,21/03/2022,21/01/2023,306,-53,-5.77
GL112021189,19,303,21/03/2022,21/01/2023,306,-3,-102.00
GL122021258,19,287,21/03/2022,21/01/2023,306,13,23.54
GL112021196,19,247,21/03/2022,21/01/2023,306,53,5.77
GL102021197,19,217,21/03/2022,21/01/2023,306,83,3.69
GL112021215,19,331,21/03/2022,21/01/2023,306,-31,-9.87
GL112021200,19,291,21/03/2022,21/01/2023,306,9,34.00
GL122021223,19,305,21/03/2022,21/01/2023,306,-5,-61.20
GL122021230,19,206,21/03/2022,21/01/2023,306,94,3.26
GL122021231,19,247,21/03/2022,21/01/2023,306,53,5.77
NA,19,311,21/03/2022,21/01/2023,306,-11,-27.82
GL122021253,19,268,21/03/2022,21/01/2023,306,32,9.56
GL122021259,19,271,21/03/2022,21/01/2023,306,29,10.55
GL072021070,19,295,21/03/2022,21/01/2023,306,5,61.20
GL092021133,19,346,21/03/2022,21/01/2023,306,-46,-6.65
GL092021134,19,291,21/03/2022,21/01/2023,306,9,34.00
GL012022300,19,311,21/03/2022,21/01/2023,306,-11,-27.82
NA,19,311,21/03/2022,21/01/2023,306,-11,-27.82
GL012022295,19,302,21/03/2022,21/01/2023,306,-2,-153.00
GL102021160,19,290,21/03/2022,21/01/2023,306,10,30.60
GL112021195,20,288,08/04/2022,08/02/2023,306,12,25.50
GL112021205,20,296,08/04/2022,08/02/2023,306,4,76.50
GL112021210,20,289,08/04/2022,08/02/2023,306,11,27.82
GL112021210,20,289,08/04/2022,08/02/2023,306,11,27.82
GL122021220,20,252,08/04/2022,08/02/2023,306,48,6.38
GL122021222,20,359,08/04/2022,08/02/2023,306,-59,-5.19
GL122021229,20,274,08/04/2022,08/02/2023,306,26,11.77
GL122021228,20,277,08/04/2022,08/02/2023,306,23,13.30
GL122021237,20,299,08/04/2022,08/02/2023,306,1,306.00
GL122021256,21,291,22/04/2022,22/02/2023,306,9,34.00
GL012022289,21,315,22/04/2022,22/02/2023,306,-15,-20.40
GL012022291,21,313,22/04/2022,22/02/2023,306,-13,-23.54
GL012022284,21,345,22/04/2022,22/02/2023,306,-45,-6.80
GL012022281,21,271,22/04/2022,22/02/2023,306,29,10.55
GL022022328,21,282,22/04/2022,22/02/2023,306,18,17.00
GL032021025,21,302,22/04/2022,22/02/2023,306,-2,-153.00
GL122021226,21,277,22/04/2022,22/02/2023,306,23,13.30
GL122021224,21,249,22/04/2022,22/02/2023,306,51,6.00
GL012022283,21,278,22/04/2022,22/02/2023,306,22,13.91
GL012022294,21,325,22/04/2022,22/02/2023,306,-25,-12.24
GL122021255,21,354,22/04/2022,22/02/2023,306,-54,-5.67
GL112021185,21,332,22/04/2022,22/02/2023,306,-32,-9.56
GL012022277,21,340,22/04/2022,22/02/2023,306,-40,-7.65
GL122021257,21,268,22/04/2022,22/02/2023,306,32,9.56
GL122021240,21,234,22/04/2022,22/02/2023,306,66,4.64
GL012022301,21,309,22/04/2022,22/02/2023,306,-9,-34.00
GL012022300,21,311,22/04/2022,22/02/2023,306,-11,-27.82
GL012022275,22,349,16/05/2022,16/03/2023,304,-49,-6.20
GL012022270,22,325,16/05/2022,16/03/2023,304,-25,-12.16
GL122021254,22,262,16/05/2022,16/03/2023,304,38,8.00
GL012022273,22,303,16/05/2022,16/03/2023,304,-3,-101.33
GL122021247,22,322,16/05/2022,16/03/2023,304,-22,-13.82
GL012022272,22,293,16/05/2022,16/03/2023,304,7,43.43
GL012022278,22,299,16/05/2022,16/03/2023,304,1,304.00
GL122021242,22,295,16/05/2022,16/03/2023,304,5,60.80
GL122021243,22,300,16/05/2022,16/03/2023,304,0,#DIV/0!
GL012022276,22,272,16/05/2022,16/03/2023,304,28,10.86
GL122021248,22,332,16/05/2022,16/03/2023,304,-32,-9.50
GL012022280,22,302,16/05/2022,16/03/2023,304,-2,-152.00
NA,22,311,16/05/2022,16/03/2023,304,-11,-27.64
GL122021252,23,293,06/06/2022,06/04/2023,304,7,43.43
GL122021268,23,256,06/06/2022,06/04/2023,304,44,6.91
GL012022287,23,350,06/06/2022,06/04/2023,304,-50,-6.08
GL012022279,23,290,06/06/2022,06/04/2023,304,10,30.40
GL012022282,23,297,06/06/2022,06/04/2023,304,3,101.33
GL122021249,23,273,06/06/2022,06/04/2023,304,27,11.26
GL122021264,23,361,06/06/2022,06/04/2023,304,-61,-4.98
GL122021246,23,266,06/06/2022,06/04/2023,304,34,8.94
GL012022298,23,279,06/06/2022,06/04/2023,304,21,14.48
GL122021267,23,342,06/06/2022,06/04/2023,304,-42,-7.24
GL112021213,23,283,06/06/2022,06/04/2023,304,17,17.88
GL102021168,23,312,06/06/2022,06/04/2023,304,-12,-25.33
GL012022290,23,247,06/06/2022,06/04/2023,304,53,5.74
GL012022271,23,293,06/06/2022,06/04/2023,304,7,43.43
GL042022453,23,267,06/06/2022,06/04/2023,304,33,9.21
NA,23,311,06/06/2022,06/04/2023,304,-11,-27.64
GL012022285,23,316,06/06/2022,06/04/2023,304,-16,-19.00
GL122021236,23,272,06/06/2022,06/04/2023,304,28,10.86
GL092021114,23,306,06/06/2022,06/04/2023,304,-6,-50.67
GL122021238,23,273,06/06/2022,06/04/2023,304,27,11.26
GL012022296,24,345,28/06/2022,28/04/2023,304,-45,-6.76
GL012022303,24,342,28/06/2022,28/04/2023,304,-42,-7.24
NA,24,311,28/06/2022,28/04/2023,304,-11,-27.64
GL022022304,24,316,28/06/2022,28/04/2023,304,-16,-19.00
GL022022305,24,274,28/06/2022,28/04/2023,304,26,11.69
GL022022313,24,286,28/06/2022,28/04/2023,304,14,21.71
GL022022316,24,321,28/06/2022,28/04/2023,304,-21,-14.48
GL022022317,24,263,28/06/2022,28/04/2023,304,37,8.22
GL022022318,24,297,28/06/2022,28/04/2023,304,3,101.33
GL022022321,24,261,28/06/2022,28/04/2023,304,39,7.79
NA,24,311,28/06/2022,28/04/2023,304,-11,-27.64
GL022022335,24,288,28/06/2022,28/04/2023,304,12,25.33
GL022022337,24,287,28/06/2022,28/04/2023,304,13,23.38
GL022022336,24,279,28/06/2022,28/04/2023,304,21,14.48
GL022022345,24,274,28/06/2022,28/04/2023,304,26,11.69
GL022022342,24,265,28/06/2022,28/04/2023,304,35,8.69
GL032022343,24,307,28/06/2022,28/04/2023,304,-7,-43.43
GL032022425,24,393,28/06/2022,28/04/2023,304,-93,-3.27
GL022022340,24,360,28/06/2022,28/04/2023,304,-60,-5.07
GL112021199,24,274,28/06/2022,28/04/2023,304,26,11.69
GL112021198,24,299,28/06/2022,28/04/2023,304,1,304.00
GL022022310,24,283,28/06/2022,28/04/2023,304,17,17.88
GL122021263,24,269,28/06/2022,28/04/2023,304,31,9.81
GL022022333,24,251,28/06/2022,28/04/2023,304,49,6.20
GL122021262,24,282,28/06/2022,28/04/2023,304,18,16.89
GL022022324,24,283,28/06/2022,28/04/2023,304,17,17.88
GL112021219,24,283,28/06/2022,28/04/2023,304,17,17.88
GL012022297,25,314,18/07/2022,18/05/2023,304,-14,-21.71
GL012022302,25,301,18/07/2022,18/05/2023,304,-1,-304.00
GL022022311,25,292,18/07/2022,18/05/2023,304,8,38.00
GL022022312,25,342,18/07/2022,18/05/2023,304,-42,-7.24
GL022022314,25,290,18/07/2022,18/05/2023,304,10,30.40
GL022022334,25,330,18/07/2022,18/05/2023,304,-30,-10.13
GL082021100,25,312,18/07/2022,18/05/2023,304,-12,-25.33
GL022022339,25,323,18/07/2022,18/05/2023,304,-23,-13.22
GL022022341,25,318,18/07/2022,18/05/2023,304,-18,-16.89
GL032022358,25,299,18/07/2022,18/05/2023,304,1,304.00
GL032022381,25,348,18/07/2022,18/05/2023,304,-48,-6.33
GL122021251,25,329,18/07/2022,18/05/2023,304,-29,-10.48
GL012022274,25,317,18/07/2022,18/05/2023,304,-17,-17.88
GL022022332,25,347,18/07/2022,18/05/2023,304,-47,-6.47
GL122021245,25,297,18/07/2022,18/05/2023,304,3,101.33
GL022022331,25,278,18/07/2022,18/05/2023,304,22,13.82
GL052022561,25,275,18/07/2022,18/05/2023,304,25,12.16
GL112021208,25,388,18/07/2022,18/05/2023,304,-88,-3.45
GL022022343,26,353,25/01/2022,25/11/2022,304,-53,-5.74
GL032022349,26,336,25/01/2022,25/11/2022,304,-36,-8.44
GL032022352,26,230,25/01/2022,25/11/2022,304,70,4.34
GL032022354,26,301,25/01/2022,25/11/2022,304,-1,-304.00
NA,26,311,25/01/2022,25/11/2022,304,-11,-27.64
GL032022363,26,321,25/01/2022,25/11/2022,304,-21,-14.48
GL012022293,26,293,25/01/2022,25/11/2022,304,7,43.43
GL032022366,26,279,25/01/2022,25/11/2022,304,21,14.48
GL032022369,26,330,25/01/2022,25/11/2022,304,-30,-10.13
GL032022371,26,344,25/01/2022,25/11/2022,304,-44,-6.91
GL032022378,26,323,25/01/2022,25/11/2022,304,-23,-13.22
GL032022379,26,267,25/01/2022,25/11/2022,304,33,9.21
NA,26,311,25/01/2022,25/11/2022,304,-11,-27.64
GL032022382,26,312,25/01/2022,25/11/2022,304,-12,-25.33
GL032022383,26,325,25/01/2022,25/11/2022,304,-25,-12.16
GL032022384,26,285,25/01/2022,25/11/2022,304,15,20.27
GL032022389,26,289,25/01/2022,25/11/2022,304,11,27.64
GL032022390,26,362,25/01/2022,25/11/2022,304,-62,-4.90
GL032022391,26,302,25/01/2022,25/11/2022,304,-2,-152.00
GL032022394,26,270,25/01/2022,25/11/2022,304,30,10.13
GL032022392,26,242,25/01/2022,25/11/2022,304,58,5.24
GL022022329,26,282,25/01/2022,25/11/2022,304,18,16.89
GL032022404,26,265,25/01/2022,25/11/2022,304,35,8.69
GL032022400,26,358,25/01/2022,25/11/2022,304,-58,-5.24
GL032022405,26,306,25/01/2022,25/11/2022,304,-6,-50.67
GL032022403,26,268,25/01/2022,25/11/2022,304,32,9.50
GL032022408,26,274,25/01/2022,25/11/2022,304,26,11.69
GL032022376,26,320,25/01/2022,25/11/2022,304,-20,-15.20
GL032022407,26,299,25/01/2022,25/11/2022,304,1,304.00
GL112021193,26,274,25/01/2022,25/11/2022,304,26,11.69
GL122021238,26,273,25/01/2022,25/11/2022,304,27,11.26
GL042022512,26,318,25/01/2022,25/11/2022,304,-18,-16.89
GL022022315,26,293,25/01/2022,25/11/2022,304,7,43.43
GL112021181,26,273,25/01/2022,25/11/2022,304,27,11.26
GL032022397,26,298,25/01/2022,25/11/2022,304,2,152.00
GL0120211892,27,269,02/10/2022,02/08/2023,304,31,9.81
GL022022323,27,256,02/10/2022,02/08/2023,304,44,6.91
GL022022330,27,269,02/10/2022,02/08/2023,304,31,9.81
GL022022330,27,269,02/10/2022,02/08/2023,304,31,9.81
GL022022347,27,273,02/10/2022,02/08/2023,304,27,11.26
GL022022348,27,289,02/10/2022,02/08/2023,304,11,27.64
GL032022350,27,297,02/10/2022,02/08/2023,304,3,101.33
GL102021157,27,295,02/10/2022,02/08/2023,304,5,60.80
GL032022351,27,314,02/10/2022,02/08/2023,304,-14,-21.71
GL022022308,27,291,02/10/2022,02/08/2023,304,9,33.78
GL022022326,27,287,02/10/2022,02/08/2023,304,13,23.38
GL032022355,27,256,02/10/2022,02/08/2023,304,44,6.91
GL012022288,27,288,02/10/2022,02/08/2023,304,12,25.33
GL022022319,27,366,02/10/2022,02/08/2023,304,-66,-4.61
GL032022361,27,253,02/10/2022,02/08/2023,304,47,6.47
GL102021161,27,240,02/10/2022,02/08/2023,304,60,5.07
GL032022375,27,301,02/10/2022,02/08/2023,304,-1,-304.00
GL032022377,27,308,02/10/2022,02/08/2023,304,-8,-38.00
GL032022385,27,322,02/10/2022,02/08/2023,304,-22,-13.82
GL032022386,27,290,02/10/2022,02/08/2023,304,10,30.40
GL032022387,27,248,02/10/2022,02/08/2023,304,52,5.85
GL032022388,27,299,02/10/2022,02/08/2023,304,1,304.00
GL032022398,27,260,02/10/2022,02/08/2023,304,40,7.60
GL032022399,27,305,02/10/2022,02/08/2023,304,-5,-60.80
GL032022401,27,313,02/10/2022,02/08/2023,304,-13,-23.38
GL032022402,27,284,02/10/2022,02/08/2023,304,16,19.00
GL032022428,27,295,02/10/2022,02/08/2023,304,5,60.80
GL012022309,27,273,02/10/2022,02/08/2023,304,27,11.26
GL032022393,27,182,02/10/2022,02/08/2023,304,118,2.58
GL032022420,27,263,02/10/2022,02/08/2023,304,37,8.22
GL112021214,27,290,02/10/2022,02/08/2023,304,10,30.40
GL032022406,27,320,02/10/2022,02/08/2023,304,-20,-15.20
GL022022307,27,285,02/10/2022,02/08/2023,304,15,20.27
GL032022416,28,330,20/07/2022,20/05/2023,304,-30,-10.13
