SEN No.,Batch id,Batch No,Class Commencement Date,Assessment Date,Excel,Excel %Score,Assessment Date,Power BI,Power BI %Score,Assessment Date,SQL,SQL %Score,Assessment Date,Statistics,Statistics %Score,Assessment Date,Python,Python %Score,Assessment Date,Machine Learning,Machine Learning %Score,Assessment Date,AWS,AWS %Score,Assessment Date,Deep Learning,Deep Learning %Score,Assessment Date,NLP,NLP %Score,Total Marks,Pass Rate,Total Avg %,Pass/Fail
GL012021009,GL-B03,3,19/04/2021,20/05/2021,33,55.00,20/06/2021,9,15.00,20/07/2021,55,91.67,20/08/2021,24,40.00,20/09/2021,10,16.67,20/10/2021,2,3.33,20/11/2021,52,86.67,20/12/2021,13,21.67,20/01/2022,36,60.00,60,40,43.33,Fail
GL012021010,GL-B04,4,04/05/2021,04/06/2021,30,50.00,04/07/2021,35,58.33,04/08/2021,39,65.00,04/09/2021,22,36.67,04/10/2021,19,31.67,04/11/2021,39,65.00,04/12/2021,27,45.00,04/01/2022,2,3.33,04/02/2022,40,66.67,60,40,46.85,Fail
GL052021037,GL-B04,4,04/05/2021,04/06/2021,26,43.33,04/07/2021,34,56.67,04/08/2021,44,73.33,04/09/2021,46,76.67,04/10/2021,32,53.33,04/11/2021,20,33.33,04/12/2021,57,95.00,04/01/2022,29,48.33,04/02/2022,41,68.33,60,40,60.93,Pass
GL042021028,GL-B04,4,04/05/2021,04/06/2021,38,63.33,04/07/2021,19,31.67,04/08/2021,54,90.00,04/09/2021,6,10.00,04/10/2021,56,93.33,04/11/2021,59,98.33,04/12/2021,22,36.67,04/01/2022,17,28.33,04/02/2022,55,91.67,60,40,60.37,Pass
GL042021032,GL-B04,4,04/05/2021,04/06/2021,34,56.67,04/07/2021,27,45.00,04/08/2021,10,16.67,04/09/2021,57,95.00,04/10/2021,28,46.67,04/11/2021,49,81.67,04/12/2021,37,61.67,04/01/2022,3,5.00,04/02/2022,12,20.00,60,40,47.59,Fail
GL052021043,GL-B04,4,04/05/2021,04/06/2021,19,31.67,04/07/2021,41,68.33,04/08/2021,43,71.67,04/09/2021,57,95.00,04/10/2021,24,40.00,04/11/2021,44,73.33,04/12/2021,12,20.00,04/01/2022,1,1.67,04/02/2022,15,25.00,60,40,47.41,Fail
GL032021023,GL-B04,4,04/05/2021,04/06/2021,57,95.00,04/07/2021,28,46.67,04/08/2021,50,83.33,04/09/2021,11,18.33,04/10/2021,48,80.00,04/11/2021,20,33.33,04/12/2021,18,30.00,04/01/2022,21,35.00,04/02/2022,47,78.33,60,40,55.56,Pass
GL042021030,GL-B04,4,04/05/2021,04/06/2021,24,40.00,04/07/2021,54,90.00,04/08/2021,46,76.67,04/09/2021,2,3.33,04/10/2021,24,40.00,04/11/2021,57,95.00,04/12/2021,19,31.67,04/01/2022,3,5.00,04/02/2022,15,25.00,60,40,45.19,Fail
GL042021033,GL-B04,4,04/05/2021,04/06/2021,31,51.67,04/07/2021,34,56.67,04/08/2021,26,43.33,04/09/2021,21,35.00,04/10/2021,18,30.00,04/11/2021,40,66.67,04/12/2021,30,50.00,04/01/2022,50,83.33,04/02/2022,7,11.67,60,40,47.59,Fail
GL032021022,GL-B04,4,04/05/2021,04/06/2021,22,36.67,04/07/2021,45,75.00,04/08/2021,8,13.33,04/09/2021,22,36.67,04/10/2021,44,73.33,04/11/2021,23,38.33,04/12/2021,7,11.67,04/01/2022,3,5.00,04/02/2022,36,60.00,60,40,38.89,Fail
NA,GL-B04,4,04/05/2021,04/06/2021,48,80.00,04/07/2021,40,66.67,04/08/2021,26,43.33,04/09/2021,54,90.00,04/10/2021,26,43.33,04/11/2021,52,86.67,04/12/2021,28,46.67,04/01/2022,29,48.33,04/02/2022,24,40.00,60,40,60.56,Pass
NA,GL-B04,4,04/05/2021,04/06/2021,58,96.67,04/07/2021,33,55.00,04/08/2021,16,26.67,04/09/2021,33,55.00,04/10/2021,33,55.00,04/11/2021,15,25.00,04/12/2021,15,25.00,04/01/2022,43,71.67,04/02/2022,7,11.67,60,40,46.85,Fail
GL042021031,GL-B04,4,04/05/2021,04/06/2021,41,68.33,04/07/2021,53,88.33,04/08/2021,20,33.33,04/09/2021,32,53.33,04/10/2021,4,6.67,04/11/2021,15,25.00,04/12/2021,49,81.67,04/01/2022,41,68.33,04/02/2022,36,60.00,60,40,53.89,Pass
GL032021020,GL-B04,4,04/05/2021,04/06/2021,45,75.00,04/07/2021,59,98.33,04/08/2021,56,93.33,04/09/2021,59,98.33,04/10/2021,32,53.33,04/11/2021,44,73.33,04/12/2021,52,86.67,04/01/2022,19,31.67,04/02/2022,4,6.67,60,40,68.52,Pass
GL042021035,GL-B04,4,04/05/2021,04/06/2021,31,51.67,04/07/2021,10,16.67,04/08/2021,7,11.67,04/09/2021,7,11.67,04/10/2021,54,90.00,04/11/2021,44,73.33,04/12/2021,18,30.00,04/01/2022,14,23.33,04/02/2022,26,43.33,60,40,39.07,Fail
GL042021035,GL-B05,5,08/06/2021,08/07/2021,19,31.67,08/08/2021,23,38.33,08/09/2021,17,28.33,08/10/2021,54,90.00,08/11/2021,26,43.33,08/12/2021,52,86.67,08/01/2022,40,66.67,08/02/2022,54,90.00,08/03/2022,13,21.67,60,40,55.19,Pass
GL052021039,GL-B05,5,08/06/2021,08/07/2021,49,81.67,08/08/2021,54,90.00,08/09/2021,17,28.33,08/10/2021,18,30.00,08/11/2021,57,95.00,08/12/2021,18,30.00,08/01/2022,16,26.67,08/02/2022,39,65.00,08/03/2022,36,60.00,60,40,56.30,Pass
GL052021040,GL-B05,5,08/06/2021,08/07/2021,41,68.33,08/08/2021,2,3.33,08/09/2021,3,5.00,08/10/2021,35,58.33,08/11/2021,56,93.33,08/12/2021,13,21.67,08/01/2022,39,65.00,08/02/2022,12,20.00,08/03/2022,36,60.00,60,40,43.89,Fail
GL052021044,GL-B05,5,08/06/2021,08/07/2021,35,58.33,08/08/2021,1,1.67,08/09/2021,25,41.67,08/10/2021,45,75.00,08/11/2021,49,81.67,08/12/2021,36,60.00,08/01/2022,39,65.00,08/02/2022,40,66.67,08/03/2022,43,71.67,60,40,57.96,Pass
GL052021041,GL-B05,5,08/06/2021,08/07/2021,56,93.33,08/08/2021,39,65.00,08/09/2021,53,88.33,08/10/2021,9,15.00,08/11/2021,37,61.67,08/12/2021,18,30.00,08/01/2022,45,75.00,08/02/2022,2,3.33,08/03/2022,35,58.33,60,40,54.44,Pass
GL052021046,GL-B05,5,08/06/2021,08/07/2021,28,46.67,08/08/2021,34,56.67,08/09/2021,32,53.33,08/10/2021,29,48.33,08/11/2021,5,8.33,08/12/2021,56,93.33,08/01/2022,55,91.67,08/02/2022,32,53.33,08/03/2022,24,40.00,60,40,54.63,Pass
GL052021045,GL-B05,5,08/06/2021,08/07/2021,51,85.00,08/08/2021,48,80.00,08/09/2021,12,20.00,08/10/2021,15,25.00,08/11/2021,34,56.67,08/12/2021,49,81.67,08/01/2022,22,36.67,08/02/2022,42,70.00,08/03/2022,52,86.67,60,40,60.19,Pass
GL052021042,GL-B05,5,08/06/2021,08/07/2021,32,53.33,08/08/2021,10,16.67,08/09/2021,9,15.00,08/10/2021,45,75.00,08/11/2021,17,28.33,08/12/2021,37,61.67,08/01/2022,21,35.00,08/02/2022,57,95.00,08/03/2022,43,71.67,60,40,50.19,Pass
GL032021027,GL-B05,5,08/06/2021,08/07/2021,11,18.33,08/08/2021,46,76.67,08/09/2021,17,28.33,08/10/2021,21,35.00,08/11/2021,48,80.00,08/12/2021,36,60.00,08/01/2022,58,96.67,08/02/2022,8,13.33,08/03/2022,36,60.00,60,40,52.04,Pass
GL062021058,GL-B06,6,15/07/2021,15/08/2021,32,53.33,15/09/2021,22,36.67,15/10/2021,1,1.67,15/11/2021,36,60.00,15/12/2021,2,3.33,15/01/2022,30,50.00,15/02/2022,52,86.67,15/03/2022,38,63.33,15/04/2022,45,75.00,60,40,47.78,Fail
NA,GL-B06,6,15/07/2021,15/08/2021,58,96.67,15/09/2021,4,6.67,15/10/2021,53,88.33,15/11/2021,50,83.33,15/12/2021,52,86.67,15/01/2022,5,8.33,15/02/2022,5,8.33,15/03/2022,26,43.33,15/04/2022,45,75.00,60,40,55.19,Pass
GL062021055,GL-B06,6,15/07/2021,15/08/2021,55,91.67,15/09/2021,16,26.67,15/10/2021,49,81.67,15/11/2021,59,98.33,15/12/2021,59,98.33,15/01/2022,16,26.67,15/02/2022,37,61.67,15/03/2022,31,51.67,15/04/2022,60,100.00,60,40,70.74,Pass
GL052021049,GL-B06,6,15/07/2021,15/08/2021,41,68.33,15/09/2021,37,61.67,15/10/2021,55,91.67,15/11/2021,30,50.00,15/12/2021,51,85.00,15/01/2022,44,73.33,15/02/2022,47,78.33,15/03/2022,23,38.33,15/04/2022,50,83.33,60,40,70.00,Pass
NA,GL-B06,6,15/07/2021,15/08/2021,29,48.33,15/09/2021,24,40.00,15/10/2021,9,15.00,15/11/2021,29,48.33,15/12/2021,11,18.33,15/01/2022,31,51.67,15/02/2022,37,61.67,15/03/2022,44,73.33,15/04/2022,4,6.67,60,40,40.37,Fail
NA,GL-B06,6,15/07/2021,15/08/2021,53,88.33,15/09/2021,13,21.67,15/10/2021,55,91.67,15/11/2021,56,93.33,15/12/2021,57,95.00,15/01/2022,60,100.00,15/02/2022,33,55.00,15/03/2022,27,45.00,15/04/2022,15,25.00,60,40,68.33,Pass
NA,GL-B06,6,15/07/2021,15/08/2021,26,43.33,15/09/2021,20,33.33,15/10/2021,17,28.33,15/11/2021,34,56.67,15/12/2021,60,100.00,15/01/2022,58,96.67,15/02/2022,27,45.00,15/03/2022,39,65.00,15/04/2022,7,11.67,60,40,53.33,Pass
GL062021060,GL-B06,6,15/07/2021,15/08/2021,59,98.33,15/09/2021,24,40.00,15/10/2021,58,96.67,15/11/2021,43,71.67,15/12/2021,3,5.00,15/01/2022,60,100.00,15/02/2022,24,40.00,15/03/2022,6,10.00,15/04/2022,36,60.00,60,40,57.96,Pass
GL062021056,GL-B06,6,15/07/2021,15/08/2021,53,88.33,15/09/2021,4,6.67,15/10/2021,44,73.33,15/11/2021,30,50.00,15/12/2021,43,71.67,15/01/2022,41,68.33,15/02/2022,39,65.00,15/03/2022,26,43.33,15/04/2022,46,76.67,60,40,60.37,Pass
GL062021052,GL-B06,6,15/07/2021,15/08/2021,13,21.67,15/09/2021,15,25.00,15/10/2021,4,6.67,15/11/2021,59,98.33,15/12/2021,45,75.00,15/01/2022,4,6.67,15/02/2022,23,38.33,15/03/2022,48,80.00,15/04/2022,46,76.67,60,40,47.59,Fail
GL052021050,GL-B06,6,15/07/2021,15/08/2021,16,26.67,15/09/2021,20,33.33,15/10/2021,48,80.00,15/11/2021,34,56.67,15/12/2021,39,65.00,15/01/2022,28,46.67,15/02/2022,47,78.33,15/03/2022,26,43.33,15/04/2022,59,98.33,60,40,58.70,Pass
GL072021072,GL-B07,7,03/08/2021,03/09/2021,43,71.67,03/10/2021,58,96.67,03/11/2021,22,36.67,03/12/2021,57,95.00,03/01/2022,15,25.00,03/02/2022,21,35.00,03/03/2022,16,26.67,03/04/2022,13,21.67,03/05/2022,41,68.33,60,40,52.96,Pass
GL062021061,GL-B07,7,03/08/2021,03/09/2021,32,53.33,03/10/2021,26,43.33,03/11/2021,48,80.00,03/12/2021,39,65.00,03/01/2022,51,85.00,03/02/2022,31,51.67,03/03/2022,60,100.00,03/04/2022,59,98.33,03/05/2022,41,68.33,60,40,71.67,Pass
NA,GL-B07,7,03/08/2021,03/09/2021,13,21.67,03/10/2021,15,25.00,03/11/2021,54,90.00,03/12/2021,30,50.00,03/01/2022,37,61.67,03/02/2022,10,16.67,03/03/2022,13,21.67,03/04/2022,45,75.00,03/05/2022,29,48.33,60,40,45.56,Fail
GL072021074,GL-B07,7,03/08/2021,03/09/2021,47,78.33,03/10/2021,35,58.33,03/11/2021,5,8.33,03/12/2021,26,43.33,03/01/2022,56,93.33,03/02/2022,25,41.67,03/03/2022,12,20.00,03/04/2022,9,15.00,03/05/2022,32,53.33,60,40,45.74,Fail
GL082021066,GL-B07,7,03/08/2021,03/09/2021,12,20.00,03/10/2021,24,40.00,03/11/2021,3,5.00,03/12/2021,45,75.00,03/01/2022,15,25.00,03/02/2022,18,30.00,03/03/2022,27,45.00,03/04/2022,49,81.67,03/05/2022,38,63.33,60,40,42.78,Fail
NA,GL-B07,7,03/08/2021,03/09/2021,24,40.00,03/10/2021,18,30.00,03/11/2021,59,98.33,03/12/2021,15,25.00,03/01/2022,3,5.00,03/02/2022,57,95.00,03/03/2022,27,45.00,03/04/2022,50,83.33,03/05/2022,58,96.67,60,40,57.59,Pass
GL052021038,GL-B07,7,03/08/2021,03/09/2021,44,73.33,03/10/2021,22,36.67,03/11/2021,53,88.33,03/12/2021,11,18.33,03/01/2022,19,31.67,03/02/2022,48,80.00,03/03/2022,38,63.33,03/04/2022,47,78.33,03/05/2022,32,53.33,60,40,58.15,Pass
GL062021063,GL-B07,7,03/08/2021,03/09/2021,12,20.00,03/10/2021,28,46.67,03/11/2021,50,83.33,03/12/2021,42,70.00,03/01/2022,6,10.00,03/02/2022,12,20.00,03/03/2022,45,75.00,03/04/2022,48,80.00,03/05/2022,6,10.00,60,40,46.11,Fail
GL072021077,GL-B08,8,16/08/2021,16/09/2021,6,10.00,16/10/2021,23,38.33,16/11/2021,14,23.33,16/12/2021,51,85.00,16/01/2022,21,35.00,16/02/2022,53,88.33,16/03/2022,8,13.33,16/04/2022,15,25.00,16/05/2022,5,8.33,60,40,36.30,Fail
NA,GL-B08,8,16/08/2021,16/09/2021,23,38.33,16/10/2021,56,93.33,16/11/2021,21,35.00,16/12/2021,25,41.67,16/01/2022,31,51.67,16/02/2022,49,81.67,16/03/2022,22,36.67,16/04/2022,53,88.33,16/05/2022,17,28.33,60,40,55.00,Pass
GL062021062,GL-B08,8,16/08/2021,16/09/2021,27,45.00,16/10/2021,26,43.33,16/11/2021,58,96.67,16/12/2021,53,88.33,16/01/2022,53,88.33,16/02/2022,40,66.67,16/03/2022,53,88.33,16/04/2022,22,36.67,16/05/2022,40,66.67,60,40,68.89,Pass
GL072021075,GL-B08,8,16/08/2021,16/09/2021,33,55.00,16/10/2021,11,18.33,16/11/2021,60,100.00,16/12/2021,12,20.00,16/01/2022,16,26.67,16/02/2022,55,91.67,16/03/2022,45,75.00,16/04/2022,17,28.33,16/05/2022,20,33.33,60,40,49.81,Fail
GL072021084,GL-B08,8,16/08/2021,16/09/2021,15,25.00,16/10/2021,19,31.67,16/11/2021,32,53.33,16/12/2021,56,93.33,16/01/2022,53,88.33,16/02/2022,27,45.00,16/03/2022,35,58.33,16/04/2022,5,8.33,16/05/2022,60,100.00,60,40,55.93,Pass
GL072021082,GL-B08,8,16/08/2021,16/09/2021,38,63.33,16/10/2021,41,68.33,16/11/2021,36,60.00,16/12/2021,24,40.00,16/01/2022,3,5.00,16/02/2022,27,45.00,16/03/2022,39,65.00,16/04/2022,5,8.33,16/05/2022,55,91.67,60,40,49.63,Fail
GL062021057,GL-B08,8,16/08/2021,16/09/2021,41,68.33,16/10/2021,11,18.33,16/11/2021,11,18.33,16/12/2021,11,18.33,16/01/2022,45,75.00,16/02/2022,12,20.00,16/03/2022,18,30.00,16/04/2022,43,71.67,16/05/2022,60,100.00,60,40,46.67,Fail
GL072021083,GL-B08,8,16/08/2021,16/09/2021,13,21.67,16/10/2021,22,36.67,16/11/2021,49,81.67,16/12/2021,8,13.33,16/01/2022,19,31.67,16/02/2022,55,91.67,16/03/2022,39,65.00,16/04/2022,31,51.67,16/05/2022,41,68.33,60,40,51.30,Pass
GL082021087,GL-B08,8,16/08/2021,16/09/2021,29,48.33,16/10/2021,37,61.67,16/11/2021,46,76.67,16/12/2021,49,81.67,16/01/2022,53,88.33,16/02/2022,40,66.67,16/03/2022,5,8.33,16/04/2022,36,60.00,16/05/2022,28,46.67,60,40,59.81,Pass
GL072021078,GL-B08,8,16/08/2021,16/09/2021,43,71.67,16/10/2021,58,96.67,16/11/2021,49,81.67,16/12/2021,22,36.67,16/01/2022,39,65.00,16/02/2022,49,81.67,16/03/2022,46,76.67,16/04/2022,49,81.67,16/05/2022,40,66.67,60,40,73.15,Pass
GL072021067,GL-B08,8,16/08/2021,16/09/2021,14,23.33,16/10/2021,36,60.00,16/11/2021,10,16.67,16/12/2021,21,35.00,16/01/2022,14,23.33,16/02/2022,26,43.33,16/03/2022,54,90.00,16/04/2022,22,36.67,16/05/2022,45,75.00,60,40,44.81,Fail
NA,GL-B08,8,16/08/2021,16/09/2021,18,30.00,16/10/2021,18,30.00,16/11/2021,17,28.33,16/12/2021,41,68.33,16/01/2022,20,33.33,16/02/2022,12,20.00,16/03/2022,5,8.33,16/04/2022,28,46.67,16/05/2022,8,13.33,60,40,30.93,Fail
GL072021079,GL-B08,8,16/08/2021,16/09/2021,42,70.00,16/10/2021,16,26.67,16/11/2021,43,71.67,16/12/2021,25,41.67,16/01/2022,13,21.67,16/02/2022,57,95.00,16/03/2022,24,40.00,16/04/2022,2,3.33,16/05/2022,29,48.33,60,40,46.48,Fail
NA,GL-B08,8,16/08/2021,16/09/2021,16,26.67,16/10/2021,2,3.33,16/11/2021,2,3.33,16/12/2021,51,85.00,16/01/2022,45,75.00,16/02/2022,28,46.67,16/03/2022,45,75.00,16/04/2022,6,10.00,16/05/2022,18,30.00,60,40,39.44,Fail
GL082021089,GL-B09,9,13/09/2021,13/10/2021,25,41.67,13/11/2021,51,85.00,13/12/2021,16,26.67,13/01/2022,7,11.67,13/02/2022,54,90.00,13/03/2022,29,48.33,13/04/2022,17,28.33,13/05/2022,11,18.33,13/06/2022,49,81.67,60,40,47.96,Fail
GL082021098,GL-B09,9,13/09/2021,13/10/2021,28,46.67,13/11/2021,54,90.00,13/12/2021,49,81.67,13/01/2022,36,60.00,13/02/2022,47,78.33,13/03/2022,31,51.67,13/04/2022,28,46.67,13/05/2022,25,41.67,13/06/2022,26,43.33,60,40,60.00,Pass
GL072021081,GL-B09,9,13/09/2021,13/10/2021,38,63.33,13/11/2021,7,11.67,13/12/2021,32,53.33,13/01/2022,57,95.00,13/02/2022,6,10.00,13/03/2022,7,11.67,13/04/2022,30,50.00,13/05/2022,49,81.67,13/06/2022,4,6.67,60,40,42.59,Fail
GL082021092,GL-B09,9,13/09/2021,13/10/2021,41,68.33,13/11/2021,25,41.67,13/12/2021,49,81.67,13/01/2022,36,60.00,13/02/2022,38,63.33,13/03/2022,2,3.33,13/04/2022,54,90.00,13/05/2022,11,18.33,13/06/2022,8,13.33,60,40,48.89,Fail
NA,GL-B09,9,13/09/2021,13/10/2021,52,86.67,13/11/2021,29,48.33,13/12/2021,15,25.00,13/01/2022,55,91.67,13/02/2022,16,26.67,13/03/2022,58,96.67,13/04/2022,8,13.33,13/05/2022,41,68.33,13/06/2022,16,26.67,60,40,53.70,Pass
GL072021068,GL-B09,9,13/09/2021,13/10/2021,28,46.67,13/11/2021,41,68.33,13/12/2021,1,1.67,13/01/2022,23,38.33,13/02/2022,59,98.33,13/03/2022,37,61.67,13/04/2022,43,71.67,13/05/2022,54,90.00,13/06/2022,5,8.33,60,40,53.89,Pass
GL072021086,GL-B09,9,13/09/2021,13/10/2021,35,58.33,13/11/2021,28,46.67,13/12/2021,25,41.67,13/01/2022,19,31.67,13/02/2022,21,35.00,13/03/2022,9,15.00,13/04/2022,26,43.33,13/05/2022,42,70.00,13/06/2022,21,35.00,60,40,41.85,Fail
GL082021088,GL-B09,9,13/09/2021,13/10/2021,50,83.33,13/11/2021,1,1.67,13/12/2021,8,13.33,13/01/2022,1,1.67,13/02/2022,15,25.00,13/03/2022,2,3.33,13/04/2022,50,83.33,13/05/2022,59,98.33,13/06/2022,28,46.67,60,40,39.63,Fail
GL082021096,GL-B09,9,13/09/2021,13/10/2021,51,85.00,13/11/2021,21,35.00,13/12/2021,21,35.00,13/01/2022,40,66.67,13/02/2022,30,50.00,13/03/2022,18,30.00,13/04/2022,49,81.67,13/05/2022,8,13.33,13/06/2022,37,61.67,60,40,50.93,Pass
GL082021090,GL-B09,9,13/09/2021,13/10/2021,10,16.67,13/11/2021,20,33.33,13/12/2021,37,61.67,13/01/2022,45,75.00,13/02/2022,9,15.00,13/03/2022,49,81.67,13/04/2022,15,25.00,13/05/2022,57,95.00,13/06/2022,32,53.33,60,40,50.74,Pass
GL082021095,GL-B09,9,13/09/2021,13/10/2021,36,60.00,13/11/2021,32,53.33,13/12/2021,4,6.67,13/01/2022,8,13.33,13/02/2022,47,78.33,13/03/2022,44,73.33,13/04/2022,19,31.67,13/05/2022,41,68.33,13/06/2022,58,96.67,60,40,53.52,Pass
GL082021099,GL-B09,9,13/09/2021,13/10/2021,30,50.00,13/11/2021,21,35.00,13/12/2021,46,76.67,13/01/2022,39,65.00,13/02/2022,49,81.67,13/03/2022,15,25.00,13/04/2022,12,20.00,13/05/2022,37,61.67,13/06/2022,18,30.00,60,40,49.44,Fail
GL062021054,GL-B09,9,13/09/2021,13/10/2021,60,100.00,13/11/2021,49,81.67,13/12/2021,28,46.67,13/01/2022,38,63.33,13/02/2022,12,20.00,13/03/2022,12,20.00,13/04/2022,59,98.33,13/05/2022,23,38.33,13/06/2022,35,58.33,60,40,58.52,Pass
GL082021112,GL-B10,10,22/11/2021,22/12/2021,16,26.67,22/01/2022,49,81.67,22/02/2022,36,60.00,22/03/2022,23,38.33,22/04/2022,41,68.33,22/05/2022,22,36.67,22/06/2022,37,61.67,22/07/2022,28,46.67,22/08/2022,8,13.33,60,40,48.15,Fail
GL082021094,GL-B10,10,22/11/2021,22/12/2021,53,88.33,22/01/2022,26,43.33,22/02/2022,9,15.00,22/03/2022,16,26.67,22/04/2022,7,11.67,22/05/2022,31,51.67,22/06/2022,14,23.33,22/07/2022,48,80.00,22/08/2022,35,58.33,60,40,44.26,Fail
